"","X","stockid","stocklong","year","value","metric","scientificname","commonname","areaname","common_noaa"
"426",426,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1960,0.026326531,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"427",427,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1961,0.028571429,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"428",428,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1962,0.030816327,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"429",429,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1963,0.031836735,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"430",430,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1964,0.03244898,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"431",431,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1965,0.031836735,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"432",432,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1966,0.029795918,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"433",433,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1967,0.028163265,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"434",434,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1968,0.02122449,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"435",435,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1969,0.018591837,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"436",436,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1970,0.017653061,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"437",437,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1971,0.017204082,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"438",438,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1972,0.017,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"439",439,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1973,0.017040816,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"440",440,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1974,0.017530612,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"441",441,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1975,0.018367347,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"442",442,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1976,0.018612245,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"443",443,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1977,0.019265306,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"444",444,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1978,0.02022449,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"445",445,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1979,0.020122449,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"446",446,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1980,0.019469388,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"447",447,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1981,0.018591837,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"448",448,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1982,0.016979592,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"449",449,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1983,0.015040816,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"450",450,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1984,0.012836735,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"451",451,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1985,0.011653061,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"452",452,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1986,0.010734694,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"453",453,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1987,0.010591837,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"454",454,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1988,0.011020408,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"455",455,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1989,0.009857143,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"456",456,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1990,0.009653061,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"457",457,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1991,0.009489796,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"458",458,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1992,0.008979592,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"459",459,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1993,0.008795918,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"460",460,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1994,0.008714286,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"461",461,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1995,0.008959184,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"462",462,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1996,0.009836735,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"463",463,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1997,0.010714286,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"464",464,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1998,0.011653061,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"465",465,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",1999,0.012979592,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"466",466,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2000,0.014040816,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"467",467,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2001,0.015346939,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"468",468,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2002,0.016755102,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"469",469,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2003,0.018428571,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"470",470,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2004,0.019877551,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"471",471,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2005,0.021836735,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"472",472,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2006,0.023877551,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"473",473,"ATHAL5YZ","Atlantic Halibut NAFO-5YZ",2007,0.026530612,"B/Bmsy","Hippoglossus hippoglossus","Atlantic Halibut","Gulf of Maine / Georges Bank","atlantic halibut"
"474",474,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1973,0.456242223,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"475",475,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1974,0.456242223,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"476",476,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1975,0.736209042,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"477",477,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1976,1.323793723,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"478",478,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1977,1.562283976,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"479",479,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1978,1.379095811,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"480",480,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1979,1.040370524,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"481",481,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1980,0.774229227,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"482",482,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1981,0.642886769,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"483",483,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1982,0.532282594,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"484",484,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1983,0.404396516,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"485",485,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1984,0.964330153,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"486",486,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1985,1.306511821,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"487",487,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1986,1.697082815,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"488",488,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1987,1.983962395,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"489",489,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1988,2.205170745,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"490",490,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1989,2.149868658,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"491",491,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1990,2.077284667,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"492",492,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1991,1.973593253,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"493",493,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1992,2.533526891,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"494",494,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1993,2.865339417,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"495",495,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1994,3.110742431,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"496",496,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1995,3.25245403,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"497",497,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1996,3.342319923,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"498",498,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1997,3.096916909,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"499",499,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1998,2.82040647,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"500",500,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1999,2.917185124,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"501",501,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",2000,3.145306235,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"502",502,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",2001,3.069265865,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"503",503,"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",2002,2.775473524,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast","atlantic croaker"
"504",504,"BIGEYEATL","Bigeye tuna Atlantic",1950,2.72,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"505",505,"BIGEYEATL","Bigeye tuna Atlantic",1951,2.72,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"506",506,"BIGEYEATL","Bigeye tuna Atlantic",1952,2.71,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"507",507,"BIGEYEATL","Bigeye tuna Atlantic",1953,2.71,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"508",508,"BIGEYEATL","Bigeye tuna Atlantic",1954,2.71,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"509",509,"BIGEYEATL","Bigeye tuna Atlantic",1955,2.7,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"510",510,"BIGEYEATL","Bigeye tuna Atlantic",1956,2.69,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"511",511,"BIGEYEATL","Bigeye tuna Atlantic",1957,2.69,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"512",512,"BIGEYEATL","Bigeye tuna Atlantic",1958,2.68,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"513",513,"BIGEYEATL","Bigeye tuna Atlantic",1959,2.68,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"514",514,"BIGEYEATL","Bigeye tuna Atlantic",1960,2.67,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"515",515,"BIGEYEATL","Bigeye tuna Atlantic",1961,2.66,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"516",516,"BIGEYEATL","Bigeye tuna Atlantic",1962,2.63,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"517",517,"BIGEYEATL","Bigeye tuna Atlantic",1963,2.6,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"518",518,"BIGEYEATL","Bigeye tuna Atlantic",1964,2.56,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"519",519,"BIGEYEATL","Bigeye tuna Atlantic",1965,2.54,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"520",520,"BIGEYEATL","Bigeye tuna Atlantic",1966,2.48,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"521",521,"BIGEYEATL","Bigeye tuna Atlantic",1967,2.46,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"522",522,"BIGEYEATL","Bigeye tuna Atlantic",1968,2.45,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"523",523,"BIGEYEATL","Bigeye tuna Atlantic",1969,2.44,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"524",524,"BIGEYEATL","Bigeye tuna Atlantic",1970,2.41,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"525",525,"BIGEYEATL","Bigeye tuna Atlantic",1971,2.36,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"526",526,"BIGEYEATL","Bigeye tuna Atlantic",1972,2.3,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"527",527,"BIGEYEATL","Bigeye tuna Atlantic",1973,2.26,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"528",528,"BIGEYEATL","Bigeye tuna Atlantic",1974,2.21,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"529",529,"BIGEYEATL","Bigeye tuna Atlantic",1975,2.15,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"530",530,"BIGEYEATL","Bigeye tuna Atlantic",1976,2.1,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"531",531,"BIGEYEATL","Bigeye tuna Atlantic",1977,2.1,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"532",532,"BIGEYEATL","Bigeye tuna Atlantic",1978,2.08,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"533",533,"BIGEYEATL","Bigeye tuna Atlantic",1979,2.07,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"534",534,"BIGEYEATL","Bigeye tuna Atlantic",1980,2.08,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"535",535,"BIGEYEATL","Bigeye tuna Atlantic",1981,2.04,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"536",536,"BIGEYEATL","Bigeye tuna Atlantic",1982,2,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"537",537,"BIGEYEATL","Bigeye tuna Atlantic",1983,1.94,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"538",538,"BIGEYEATL","Bigeye tuna Atlantic",1984,1.94,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"539",539,"BIGEYEATL","Bigeye tuna Atlantic",1985,1.9,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"540",540,"BIGEYEATL","Bigeye tuna Atlantic",1986,1.85,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"541",541,"BIGEYEATL","Bigeye tuna Atlantic",1987,1.84,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"542",542,"BIGEYEATL","Bigeye tuna Atlantic",1988,1.82,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"543",543,"BIGEYEATL","Bigeye tuna Atlantic",1989,1.8,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"544",544,"BIGEYEATL","Bigeye tuna Atlantic",1990,1.76,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"545",545,"BIGEYEATL","Bigeye tuna Atlantic",1991,1.71,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"546",546,"BIGEYEATL","Bigeye tuna Atlantic",1992,1.65,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"547",547,"BIGEYEATL","Bigeye tuna Atlantic",1993,1.59,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"548",548,"BIGEYEATL","Bigeye tuna Atlantic",1994,1.49,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"549",549,"BIGEYEATL","Bigeye tuna Atlantic",1995,1.34,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"550",550,"BIGEYEATL","Bigeye tuna Atlantic",1996,1.22,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"551",551,"BIGEYEATL","Bigeye tuna Atlantic",1997,1.13,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"552",552,"BIGEYEATL","Bigeye tuna Atlantic",1998,1.06,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"553",553,"BIGEYEATL","Bigeye tuna Atlantic",1999,1.01,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"554",554,"BIGEYEATL","Bigeye tuna Atlantic",2000,0.913,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"555",555,"BIGEYEATL","Bigeye tuna Atlantic",2001,0.867,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"556",556,"BIGEYEATL","Bigeye tuna Atlantic",2002,0.852,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"557",557,"BIGEYEATL","Bigeye tuna Atlantic",2003,0.879,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"558",558,"BIGEYEATL","Bigeye tuna Atlantic",2004,0.876,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"559",559,"BIGEYEATL","Bigeye tuna Atlantic",2005,0.864,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"560",560,"BIGEYEATL","Bigeye tuna Atlantic",2006,0.865,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"561",561,"BIGEYEATL","Bigeye tuna Atlantic",2007,0.866,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"562",562,"BIGEYEATL","Bigeye tuna Atlantic",2008,0.855,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"563",563,"BIGEYEATL","Bigeye tuna Atlantic",2009,0.852,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"564",564,"BIGEYEATL","Bigeye tuna Atlantic",2010,0.826,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"565",565,"BIGEYEATL","Bigeye tuna Atlantic",2011,0.798,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"566",566,"BIGEYEATL","Bigeye tuna Atlantic",2012,0.765,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"567",567,"BIGEYEATL","Bigeye tuna Atlantic",2013,0.744,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"568",568,"BIGEYEATL","Bigeye tuna Atlantic",2014,0.744,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean","bigeye tuna"
"569",569,"BLUEFISHATLC","Bluefish Atlantic Coast",1985,1.390234473,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"570",570,"BLUEFISHATLC","Bluefish Atlantic Coast",1986,1.235057719,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"571",571,"BLUEFISHATLC","Bluefish Atlantic Coast",1987,1.030612795,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"572",572,"BLUEFISHATLC","Bluefish Atlantic Coast",1988,0.782401913,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"573",573,"BLUEFISHATLC","Bluefish Atlantic Coast",1989,0.720322221,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"574",574,"BLUEFISHATLC","Bluefish Atlantic Coast",1990,0.665965404,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"575",575,"BLUEFISHATLC","Bluefish Atlantic Coast",1991,0.582011724,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"576",576,"BLUEFISHATLC","Bluefish Atlantic Coast",1992,0.549151293,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
"577",577,"BLUEFISHATLC","Bluefish Atlantic Coast",1993,0.527430143,"B/Bmsy","Pomatomus saltatrix","Bluefish","Atlantic Coast","bluefish"
